#Id	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	Alias	dbxref	Type	Qualifier	GO	Desc
YAL053W	chrI	+	45753	48322	45899	48250	1	45899	48250	2351	TATA-less	TAF1-depleted	45712	45685	Verified
YAL051W	chrI	+	48539	51787	48564	51707	1	48564	51707	3143	TATA-less	TAF1-enriched	48509	48480	Verified
YAL049C	chrI	-	51691	54082	51855	52595	1	51855	52595	740	TATA-less	TAF1-enriched	52680	52718	Verified
YAL048C	chrI	-	52407	54790	52801	54789	1	52801	54789	1988	#N/A	#N/A	#N/A	#N/A	Verified
YAL047W-A	chrI	+	54221	55036	54584	54913	1	54584	54913	329	#N/A	#N/A	#N/A	#N/A	Dubious
YAL047C	chrI	-	54937	56857	54989	56857	1	54989	56857	1868	TATA-containing	TAF1-enriched	56892	56953	Verified
YAL046C	chrI	-	56907	57391	57029	57385	1	57029	57385	356	TATA-containing	TAF1-enriched	57422	57448	Verified
YAL045C	chrI	-	#N/A	#N/A	57488	57796	1	57488	57796	308	#N/A	#N/A	#N/A	#N/A	Dubious
YAL044W-A	chrI	+	57481	57958	57518	57850	1	57518	57850	332	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAL044C	chrI	-	57849	58463	57950	58462	1	57950	58462	512	TATA-containing	TAF1-depleted	58512	58531	Verified
YAL043C	chrI	-	58615	61068	58695	61052	1	58695	61052	2357	TATA-less	TAF1-enriched	61084	61073	Verified
YAL042C-A	chrI	-	#N/A	#N/A	61231	61608	1	61231	61608	377	#N/A	#N/A	#N/A	#N/A	Dubious
YAL042W	chrI	+	61274	62654	61316	62563	1	61316	62563	1247	TATA-less	TAF1-enriched	61266	61237	Verified
YAL041W	chrI	+	62773	65463	62840	65404	1	62840	65404	2564	TATA-less	TAF1-enriched	62781	62733	Verified
YAL040C	chrI	-	65596	67848	65778	67520	1	65778	67520	1742	TATA-containing	TAF1-depleted	67930	67961	Verified
YAL039C	chrI	-	68616	69592	68716	69525	1	68716	69525	809	TATA-less	TAF1-enriched	69610	69628	Verified
YAL038W	chrI	+	71663	73454	71786	73288	1	71786	73288	1502	TATA-less	TAF1-depleted	71624	71639	Verified
YAL037C-B	chrI	-	#N/A	#N/A	72326	73300	1	72326	73300	974	#N/A	#N/A	#N/A	#N/A	Dubious
YAL037C-A	chrI	-	73371	73652	73426	73518	1	73426	73518	92	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAL037W	chrI	+	73839	74907	74020	74823	1	74020	74823	803	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAL036C	chrI	-	74841	76184	75043	76152	1	75043	76152	1109	TATA-less	TAF1-enriched	76211	76265	Verified
YAL035W	chrI	+	76401	79537	76427	79435	1	76427	79435	3008	TATA-less	TAF1-enriched	76393	76366	Verified
YAL034C-B	chrI	-	79446	79873	79489	79842	1	79489	79842	353	#N/A	#N/A	#N/A	#N/A	Dubious
YAL034W-A	chrI	+	79678	80615	79718	80587	1	79718	80587	869	TATA-less	TAF1-enriched	79663	79635	Verified
YAL034C	chrI	-	80549	82586	80710	81951	1	80710	81951	1241	#N/A	#N/A	#N/A	#N/A	Verified
YAL033W	chrI	+	82667	83280	82706	83227	1	82706	83227	521	#N/A	#N/A	#N/A	#N/A	Verified
YAL032C	chrI	-	83218	84497	83335	84474	1	83335	84474	1139	TATA-less	TAF1-enriched	84513	84553	Verified
YAL031W-A	chrI	+	84315	87074	84669	84977	1	84669	84977	308	#N/A	#N/A	#N/A	#N/A	Dubious
YAL031C	chrI	-	84587	87031	84749	87031	1	84749	87031	2282	TATA-less	TAF1-depleted	87081	87088	Verified
YAL030W	chrI	+	87250	87862	87286	87752	2	"87286,87501,"	"87387,87752,"	466	#N/A	#N/A	#N/A	#N/A	Verified
YAL029C	chrI	-	87714	92473	87855	92270	1	87855	92270	4415	TATA-less	TAF1-enriched	92557	92602	Verified
YAL028W	chrI	+	92836	94529	92900	94486	1	92900	94486	1586	TATA-less	TAF1-enriched	92825	92786	Verified
YAL027W	chrI	+	94607	95578	94687	95472	1	94687	95472	785	TATA-containing	TAF1-enriched	94566	94545	Verified
YAL026C-A	chrI	-	#N/A	#N/A	95386	95823	1	95386	95823	437	#N/A	#N/A	#N/A	#N/A	Dubious
YAL026C	chrI	-	95482	99775	95630	99697	1	95630	99697	4067	TATA-less	TAF1-enriched	99779	99818	Verified
YAL025C	chrI	-	100009	101168	100225	101145	1	100225	101145	920	TATA-less	TAF1-enriched	101198	101249	Verified
YAL024C	chrI	-	#N/A	#N/A	101565	105872	1	101565	105872	4307	TATA-less	TAF1-enriched	105989	106008	Verified
YAL023C	chrI	-	106130	108643	106272	108551	1	106272	108551	2279	TATA-less	TAF1-enriched	108700	108745	Verified
YAL022C	chrI	-	108759	110446	108877	110430	1	108877	110430	1553	TATA-less	TAF1-enriched	110487	110564	Verified
YAL021C	chrI	-	110616	113403	110846	113359	1	110846	113359	2513	TATA-less	TAF1-enriched	113436	113444	Verified
YAL020C	chrI	-	113542	114627	113614	114615	1	113614	114615	1001	TATA-less	TAF1-depleted	114597	114631	Verified
YAL019W-A	chrI	+	#N/A	#N/A	114250	114819	1	114250	114819	569	#N/A	#N/A	#N/A	#N/A	Dubious
YAL019W	chrI	+	114788	118363	114919	118314	1	114919	118314	3395	TATA-less	TAF1-enriched	114780	114757	Verified
YAL018C	chrI	-	118426	119591	118564	119541	1	118564	119541	977	#N/A	#N/A	#N/A	#N/A	Verified
YAL017W	chrI	+	119840	124514	120225	124295	1	120225	124295	4070	#N/A	#N/A	#N/A	#N/A	Verified
YAL016C-B	chrI	-	#N/A	#N/A	124307	124492	1	124307	124492	185	#N/A	#N/A	#N/A	#N/A	Dubious
YAL016C-A	chrI	-	124494	125075	124755	125069	1	124755	125069	314	#N/A	#N/A	#N/A	#N/A	Dubious
YAL016W	chrI	+	124782	126854	124879	126786	1	124879	126786	1907	TATA-less	TAF1-enriched	124763	0	Verified
YAL015C	chrI	-	126756	128102	126903	128102	1	126903	128102	1199	#N/A	#N/A	#N/A	#N/A	Verified
YAL014C	chrI	-	128061	129074	128252	129019	1	128252	129019	767	TATA-less	TAF1-enriched	129049	129104	Verified
YAL013W	chrI	+	129231	130568	129270	130487	1	129270	130487	1217	TATA-less	TAF1-enriched	129212	129189	Verified
YAL012W	chrI	+	130690	132100	130799	131983	1	130799	131983	1184	TATA-less	TAF1-depleted	130697	130673	Verified
YAL011W	chrI	+	132175	134173	132199	134076	1	132199	134076	1877	TATA-less	TAF1-enriched	132176	132150	Verified
YAL010C	chrI	-	134001	135688	134184	135665	1	134184	135665	1481	TATA-less	TAF1-enriched	135752	135769	Verified
YAL009W	chrI	+	135854	136756	135854	136633	1	135854	136633	779	#N/A	#N/A	#N/A	#N/A	Verified
YAL008W	chrI	+	136796	137642	136914	137510	1	136914	137510	596	TATA-less	TAF1-enriched	136824	136788	Verified
YAL007C	chrI	-	137522	138414	137698	138345	1	137698	138345	647	TATA-less	TAF1-enriched	138451	138479	Verified
YAL005C	chrI	-	139338	141488	139503	141431	1	139503	141431	1928	TATA-containing	TAF1-depleted	141572	141596	Verified
YAL004W	chrI	+	137649	142140	140760	141407	1	140760	141407	647	#N/A	#N/A	#N/A	#N/A	Dubious
YAL003W	chrI	+	142117	143445	142174	143160	2	"142174,142620,"	"142253,143160,"	986	TATA-less	TAF1-depleted	142129	142076	Verified
YAL002W	chrI	+	143550	147630	143707	147531	1	143707	147531	3824	TATA-less	TAF1-enriched	143601	143553	Verified
YAL001C	chrI	-	147558	151197	147594	151166	2	"147594,151097,"	"151006,151166,"	3572	#N/A	#N/A	#N/A	#N/A	Verified
YAR002W	chrI	+	152217	153970	152257	153876	1	152257	153876	1619	TATA-less	TAF1-enriched	152212	152160	Verified
YAR002C-A	chrI	-	153883	154751	154065	154724	1	154065	154724	659	TATA-less	TAF1-enriched	154746	154754	Verified
YAR003W	chrI	+	154920	156748	155005	156285	1	155005	156285	1280	TATA-containing	TAF1-enriched	154931	154908	Verified
YAR007C	chrI	-	156683	158663	156754	158619	1	156754	158619	1865	TATA-less	TAF1-enriched	158724	158740	Verified
YAR008W	chrI	+	158872	159902	158966	159793	1	158966	159793	827	#N/A	#N/A	#N/A	#N/A	Verified
YAR014C	chrI	-	166565	169019	166742	168871	1	166742	168871	2129	TATA-less	TAF1-enriched	169032	169040	Verified
YAR015W	chrI	+	169232	170390	169375	170295	1	169375	170295	920	TATA-containing	TAF1-depleted	169272	169228	Verified
YAR018C	chrI	-	170263	171711	170396	171703	1	170396	171703	1307	TATA-less	TAF1-enriched	171747	171811	Verified
YAR019C	chrI	-	172126	175168	172211	175135	1	172211	175135	2924	TATA-less	TAF1-enriched	175273	175239	Verified
YAR019W-A	chrI	+	#N/A	#N/A	174998	175330	1	174998	175330	332	#N/A	#N/A	#N/A	#N/A	Dubious
YAR020C	chrI	-	#N/A	#N/A	176856	177023	1	176856	177023	167	#N/A	#N/A	#N/A	#N/A	Verified
YAR023C	chrI	-	179245	180697	179281	179820	1	179281	179820	539	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAR027W	chrI	+	183671	184534	183770	184477	1	183770	184477	707	#N/A	#N/A	#N/A	#N/A	Verified
YAR028W	chrI	+	184821	185936	184892	185596	1	184892	185596	704	TATA-less	TAF1-enriched	184826	184810	Uncharacterized
YAR029W	chrI	+	185009	186754	186321	186545	1	186321	186545	224	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAR030C	chrI	-	186033	186857	186512	186853	1	186512	186853	341	#N/A	#N/A	#N/A	#N/A	Dubious
YAR031W	chrI	+	186785	187870	186836	187732	1	186836	187732	896	#N/A	#N/A	#N/A	#N/A	Verified
YAR033W	chrI	+	188050	188905	188107	188811	1	188107	188811	704	TATA-less	TAF1-enriched	188024	187986	Verified
YAR035W	chrI	+	190156	192365	190193	192256	1	190193	192256	2063	#N/A	#N/A	#N/A	#N/A	Verified
YAR035C-A	chrI	-	#N/A	#N/A	192337	192417	1	192337	192417	80	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAR042W	chrI	+	192583	196349	192619	196185	1	192619	196185	3566	TATA-less	TAF1-enriched	192532	192515	Verified
YAR047C	chrI	-	#N/A	#N/A	201467	201787	1	201467	201787	320	#N/A	#N/A	#N/A	#N/A	Dubious
YAR050W	chrI	+	#N/A	#N/A	203403	208016	1	203403	208016	4613	#N/A	#N/A	#N/A	#N/A	Verified
YAR053W	chrI	+	208193	209632	208367	208663	1	208367	208663	296	#N/A	#N/A	#N/A	#N/A	Dubious
YAR060C	chrI	-	#N/A	#N/A	217157	217492	1	217157	217492	335	#N/A	#N/A	#N/A	#N/A	Dubious
YAR064W	chrI	+	#N/A	#N/A	220198	220497	1	220198	220497	299	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAR066W	chrI	+	#N/A	#N/A	221049	221660	1	221049	221660	611	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAR068W	chrI	+	#N/A	#N/A	222406	222891	1	222406	222891	485	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YAR069C	chrI	-	#N/A	#N/A	224011	224304	1	224011	224304	293	#N/A	#N/A	#N/A	#N/A	Dubious
YAR070C	chrI	-	#N/A	#N/A	224563	224862	1	224563	224862	299	#N/A	#N/A	#N/A	#N/A	Dubious
YAR071W	chrI	+	#N/A	#N/A	225460	226863	1	225460	226863	1403	#N/A	#N/A	#N/A	#N/A	Verified
YAR073W	chrI	+	#N/A	#N/A	227742	228953	1	227742	228953	1211	TATA-containing	TAF1-depleted	227474	227430	Dubious
YAR075W	chrI	+	#N/A	#N/A	228844	229317	1	228844	229317	473	#N/A	#N/A	#N/A	#N/A	Dubious
HRA1	chrI	+	#N/A	#N/A	99305	99868	#N/A	99305	99868	563	#N/A	#N/A	#N/A	#N/A	0
tP(UGG)A	chrI	+	#N/A	#N/A	139152	139254	#N/A	"139152,139219,"	"139187,139254,"	102	TATA-containing	-	139149	139115	0
snR18	chrI	+	#N/A	#N/A	142367	142468	#N/A	142367	142468	101	#N/A	#N/A	#N/A	#N/A	0
YARCTy1-1	chrI	-	#N/A	#N/A	160238	166162	#N/A	160238	166162	5924	#N/A	#N/A	#N/A	#N/A	0
YBL113C	chrII	-	#N/A	#N/A	280	2658	1	280	2658	2378	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YBL113W-A	chrII	+	#N/A	#N/A	646	1128	1	646	1128	482	#N/A	#N/A	#N/A	#N/A	Dubious
YBL112C	chrII	-	#N/A	#N/A	2582	2899	1	2582	2899	317	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YBL111C	chrII	-	#N/A	#N/A	2907	5009	2	"2907,4216,"	"4116,5009,"	2102	#N/A	#N/A	#N/A	#N/A	Verified
YBL109W	chrII	+	#N/A	#N/A	5790	6125	1	5790	6125	335	#N/A	#N/A	#N/A	#N/A	Dubious
YBL108C-A	chrII	-	#N/A	#N/A	7605	7733	1	7605	7733	128	#N/A	#N/A	#N/A	#N/A	Verified
YBL108W	chrII	+	#N/A	#N/A	8177	8482	1	8177	8482	305	#N/A	#N/A	#N/A	#N/A	Dubious
YBL107W-A	chrII	+	#N/A	#N/A	9268	9372	1	9268	9372	104	#N/A	#N/A	#N/A	#N/A	Dubious
YBL107C	chrII	-	9835	10551	9961	10551	1	9961	10551	590	TATA-containing	TAF1-enriched	10570	10576	Verified
YBL106C	chrII	-	10771	13930	10847	13879	1	10847	13879	3032	#N/A	#N/A	#N/A	#N/A	Verified
YBL105C	chrII	-	14104	17962	14241	17696	1	14241	17696	3455	TATA-less	TAF1-enriched	17976	17998	Verified
YBL104C	chrII	-	18152	21307	18177	21293	1	18177	21293	3116	TATA-less	TAF1-enriched	21321	21305	Verified
YBL103C	chrII	-	21737	23765	22076	23536	1	22076	23536	1460	TATA-less	TAF1-enriched	23823	23829	Verified
YBL102W	chrII	+	24010	24938	24098	24745	1	24098	24745	647	TATA-less	TAF1-depleted	24013	23987	Verified
YBL101C	chrII	-	24777	28406	24946	28299	1	24946	28299	3353	#N/A	#N/A	#N/A	#N/A	Verified
YBL100W-C	chrII	+	28372	28686	28427	28546	1	28427	28546	119	TATA-less	TAF1-enriched	28384	28345	Uncharacterized
YBL100C	chrII	-	#N/A	#N/A	36989	37303	1	36989	37303	314	#N/A	#N/A	#N/A	#N/A	Dubious
YBL099W	chrII	+	36733	38922	37053	38690	1	37053	38690	1637	TATA-less	TAF1-enriched	36702	36672	Verified
YBL098W	chrII	+	#N/A	#N/A	39145	40527	1	39145	40527	1382	#N/A	#N/A	#N/A	#N/A	Verified
YBL097W	chrII	+	40773	43265	40831	43095	1	40831	43095	2264	TATA-less	TAF1-enriched	40753	40718	Verified
YBL096C	chrII	-	43132	44042	43174	43482	1	43174	43482	308	#N/A	#N/A	#N/A	#N/A	Dubious
YBL095W	chrII	+	43176	44207	43277	44089	1	43277	44089	812	TATA-less	TAF1-enriched	43248	43209	Uncharacterized
YBL094C	chrII	-	43187	44184	43765	44097	1	43765	44097	332	#N/A	#N/A	#N/A	#N/A	Dubious
YBL093C	chrII	-	44106	44998	44256	44918	1	44256	44918	662	TATA-less	TAF1-enriched	45028	45029	Verified
YBL092W	chrII	+	45613	46517	45978	46370	1	45978	46370	392	TATA-less	TAF1-enriched	45580	45549	Verified
YBL091C-A	chrII	-	46432	47186	46565	47180	2	"46565,47147,"	"47058,47180,"	615	TATA-containing	TAF1-enriched	47221	47249	Verified
YBL091C	chrII	-	47263	48650	47363	48628	1	47363	48628	1265	#N/A	#N/A	#N/A	#N/A	Verified
YBL090W	chrII	+	48794	49481	48825	49358	1	48825	49358	533	TATA-less	TAF1-enriched	48763	48740	Verified
YBL089W	chrII	+	49510	51016	49574	50953	1	49574	50953	1379	#N/A	#N/A	#N/A	#N/A	Verified
YBL088C	chrII	-	#N/A	#N/A	51019	59382	1	51019	59382	8363	TATA-less	TAF1-enriched	59596	59635	Verified
YBL087C	chrII	-	59717	60762	59822	60739	2	"59822,60698,"	"60193,60739,"	917	TATA-less	TAF1-enriched	60776	60812	Verified
YBL086C	chrII	-	61155	62709	61202	62602	1	61202	62602	1400	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YBL085W	chrII	+	63674	66938	63876	66818	1	63876	66818	2942	TATA-less	TAF1-enriched	63698	63643	Verified
YBL084C	chrII	-	#N/A	#N/A	67169	69445	1	67169	69445	2276	TATA-less	TAF1-enriched	69576	69584	Verified
YBL083C	chrII	-	69658	70146	69713	70138	1	69713	70138	425	#N/A	#N/A	#N/A	#N/A	Dubious
YBL082C	chrII	-	69715	71173	69751	71127	1	69751	71127	1376	TATA-less	TAF1-enriched	71197	71230	Verified
YBL081W	chrII	+	71552	73109	71866	72972	1	71866	72972	1106	TATA-less	TAF1-enriched	71552	71531	Uncharacterized
YBL080C	chrII	-	72965	74711	73070	74695	1	73070	74695	1625	TATA-less	TAF1-enriched	74774	74849	Verified
YBL079W	chrII	+	75206	79845	75259	79767	1	75259	79767	4508	TATA-less	TAF1-enriched	75172	75104	Verified
YBL078C	chrII	-	80273	80775	80378	80731	1	80378	80731	353	TATA-less	TAF1-enriched	80800	80824	Verified
YBL077W	chrII	+	#N/A	#N/A	80897	81328	1	80897	81328	431	#N/A	#N/A	#N/A	#N/A	Dubious
YBL076C	chrII	-	80947	84277	81043	84261	1	81043	84261	3218	TATA-less	TAF1-enriched	84307	84344	Verified
YBL075C	chrII	-	84418	86617	84499	86448	1	84499	86448	1949	#N/A	#N/A	#N/A	#N/A	Verified
YBL074C	chrII	-	86433	87808	86722	87789	1	86722	87789	1067	TATA-less	TAF1-enriched	87783	87811	Verified
YBL073W	chrII	+	#N/A	#N/A	87646	87957	1	87646	87957	311	#N/A	#N/A	#N/A	#N/A	Dubious
YBL072C	chrII	-	88403	89464	88523	89125	1	88523	89125	602	TATA-less	TAF1-enriched	89491	89518	Verified
YBL071C-B	chrII	-	#N/A	#N/A	89458	89556	1	89458	89556	98	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YBL071W-A	chrII	+	89943	90676	89978	90226	1	89978	90226	248	TATA-less	TAF1-enriched	89919	89889	Verified
YBL071C	chrII	-	89856	90544	90223	90531	1	90223	90531	308	#N/A	#N/A	#N/A	#N/A	Dubious
YBL070C	chrII	-	90361	90925	90605	90925	1	90605	90925	320	#N/A	#N/A	#N/A	#N/A	Dubious
YBL069W	chrII	+	#N/A	#N/A	90741	92030	1	90741	92030	1289	TATA-containing	TAF1-enriched	90695	90634	Verified
YBL068W-A	chrII	+	91218	92104	91794	92030	1	91794	92030	236	#N/A	#N/A	#N/A	#N/A	Dubious
YBL068W	chrII	+	92382	93483	92414	93394	1	92414	93394	980	TATA-less	TAF1-enriched	92233	92277	Verified
YBL067C	chrII	-	93513	96169	93639	95882	1	93639	95882	2243	TATA-less	TAF1-enriched	96192	96216	Verified
YBL066C	chrII	-	96342	100154	96669	100115	1	96669	100115	3446	#N/A	#N/A	#N/A	#N/A	Verified
YBL065W	chrII	+	#N/A	#N/A	99963	100307	1	99963	100307	344	#N/A	#N/A	#N/A	#N/A	Dubious
YBL064C	chrII	-	100299	101188	100371	101156	1	100371	101156	785	TATA-containing	TAF1-depleted	101229	101246	Verified
YBL063W	chrII	+	101886	105299	101886	105221	1	101886	105221	3335	TATA-less	TAF1-enriched	101868	101865	Verified
YBL062W	chrII	+	#N/A	#N/A	105308	105688	1	105308	105688	380	#N/A	#N/A	#N/A	#N/A	Dubious
YBL061C	chrII	-	105230	107515	105316	107406	1	105316	107406	2090	TATA-less	TAF1-enriched	107529	107582	Verified
YBL060W	chrII	+	107914	110033	107932	109995	1	107932	109995	2063	#N/A	#N/A	#N/A	#N/A	Verified
YBL059C-A	chrII	-	109882	110547	110125	110539	2	"110125,110506,"	"110420,110539,"	414	#N/A	#N/A	#N/A	#N/A	Verified
YBL059W	chrII	+	#N/A	#N/A	110594	111244	2	"110594,110949,"	"110879,111244,"	650	TATA-less	TAF1-depleted	110594	110587	Uncharacterized
YBL058W	chrII	+	111409	112834	111437	112708	1	111437	112708	1271	TATA-containing	TAF1-enriched	111397	111397	Verified
YBL057C	chrII	-	112728	113447	112801	113427	1	112801	113427	626	TATA-less	TAF1-enriched	113458	113494	Verified
YBL056W	chrII	+	113720	115564	113762	115168	1	113762	115168	1406	TATA-less	TAF1-enriched	113628	113619	Verified
YBL055C	chrII	-	115459	117219	115573	116829	1	115573	116829	1256	TATA-less	TAF1-depleted	116835	116832	Verified
YBL054W	chrII	+	117474	119286	117589	119166	1	117589	119166	1577	TATA-less	TAF1-enriched	117471	117439	Verified
YBL053W	chrII	+	#N/A	#N/A	119335	119709	1	119335	119709	374	#N/A	#N/A	#N/A	#N/A	Dubious
YBL052C	chrII	-	119306	122143	119379	121874	1	119379	121874	2495	TATA-less	TAF1-enriched	122109	0	Verified
YBL051C	chrII	-	122302	124817	122753	124759	1	122753	124759	2006	TATA-less	TAF1-enriched	124859	124892	Verified
YBL050W	chrII	+	125076	126186	125125	126119	2	"125125,125271,"	"125154,126119,"	994	TATA-less	TAF1-enriched	125046	125035	Verified
YBL049W	chrII	+	126788	127503	126828	127244	1	126828	127244	416	#N/A	#N/A	#N/A	#N/A	Verified
YBL048W	chrII	+	#N/A	#N/A	127299	127610	1	127299	127610	311	#N/A	#N/A	#N/A	#N/A	Dubious
YBL047C	chrII	-	127672	132169	127895	132040	1	127895	132040	4145	TATA-less	TAF1-enriched	132204	132251	Verified
YBL046W	chrII	+	132424	133927	132424	133749	1	132424	133749	1325	TATA-less	TAF1-enriched	132387	132367	Verified
YBL045C	chrII	-	133961	135702	134143	135516	1	134143	135516	1373	TATA-less	TAF1-enriched	135747	135791	Verified
YBL044W	chrII	+	#N/A	#N/A	135998	136366	1	135998	136366	368	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YBL043W	chrII	+	136557	137655	136688	137461	1	136688	137461	773	#N/A	#N/A	#N/A	#N/A	Verified
YBL042C	chrII	-	138290	140316	138341	140260	1	138341	140260	1919	TATA-containing	TAF1-depleted	140343	140403	Verified
YBL041W	chrII	+	141212	142018	141247	141972	1	141247	141972	725	TATA-less	TAF1-enriched	141215	141188	Verified
YBL040C	chrII	-	142045	142911	142112	142868	2	"142112,142847,"	"142749,142868,"	756	TATA-less	TAF1-enriched	142933	142963	Verified
YBL039W-B	chrII	+	143086	143707	143393	143572	1	143393	143572	179	TATA-less	TAF1-enriched	143158	143185	Uncharacterized
YBL039C	chrII	-	#N/A	#N/A	143989	145728	1	143989	145728	1739	TATA-less	TAF1-enriched	145822	145857	Verified
YBL039C-A	chrII	-	143805	145719	144948	145031	1	144948	145031	83	#N/A	#N/A	#N/A	#N/A	Dubious
YBL038W	chrII	+	146124	146943	146187	146885	1	146187	146885	698	TATA-less	TAF1-enriched	146138	146132	Verified
YBL037W	chrII	+	147100	150421	147209	150286	1	147209	150286	3077	TATA-less	TAF1-depleted	147113	147097	Verified
YBL036C	chrII	-	150301	151228	150447	151220	1	150447	151220	773	TATA-less	TAF1-enriched	151265	151288	Verified
YBL035C	chrII	-	151447	153691	151493	153610	1	151493	153610	2117	TATA-containing	TAF1-enriched	153675	153700	Verified
YBL034C	chrII	-	#N/A	#N/A	153848	158389	1	153848	158389	4541	TATA-less	TAF1-depleted	158665	158660	Verified
YBL033C	chrII	-	158589	159721	158656	159693	1	158656	159693	1037	TATA-containing	TAF1-enriched	159750	159779	Verified
YBL032W	chrII	+	160092	161509	160184	161329	1	160184	161329	1145	TATA-less	TAF1-enriched	160059	160066	Verified
YBL031W	chrII	+	161669	162874	161699	162715	1	161699	162715	1016	TATA-less	TAF1-enriched	161670	161646	Verified
YBL030C	chrII	-	162741	164118	163041	163997	1	163041	163997	956	TATA-containing	TAF1-depleted	164169	164203	Verified
YBL029C-A	chrII	-	164360	164841	164488	164772	1	164488	164772	284	TATA-less	TAF1-depleted	164857	164885	Verified
YBL029W	chrII	+	#N/A	#N/A	166134	167264	1	166134	167264	1130	TATA-containing	TAF1-depleted	166010	165991	Uncharacterized
YBL028C	chrII	-	167429	167885	167518	167838	1	167518	167838	320	TATA-less	TAF1-enriched	167894	167875	Verified
YBL027W	chrII	+	168392	169460	168423	169376	2	"168423,168809,"	"168424,169376,"	953	TATA-less	TAF1-depleted	168375	168354	Verified
YBL026W	chrII	+	170552	171164	170623	171038	2	"170623,170805,"	"170676,171038,"	415	TATA-less	TAF1-enriched	170581	170545	Verified
YBL025W	chrII	+	171423	172382	171481	171918	1	171481	171918	437	TATA-less	TAF1-enriched	171438	171429	Verified
YBL024W	chrII	+	172511	174713	172534	174588	1	172534	174588	2054	TATA-less	TAF1-enriched	172491	172467	Verified
YBL023C	chrII	-	174732	177579	174920	177526	1	174920	177526	2606	#N/A	#N/A	#N/A	#N/A	Verified
YBL022C	chrII	-	177798	181402	177874	181275	1	177874	181275	3401	TATA-less	TAF1-enriched	181380	0	Verified
