	Chr	ORF	TSS	Strand	TTS	+1 nucleosome
51	chrI	YAL009W	135813	+	136780	135868
52	chrI	YAL008W	136866	+	137637	136916
53	chrI	YAL007C	138420	-	137522	138374
54	chrI	YAL005C	141493	-	139357	141545
55	chrI	YAL003W	142153	+	143368	142202
56	chrI	YAL002W	143551	+	147565	143682
57	chrI	YAL001C	151204	-	147539	151153
58	chrI	YAR002W	152215	+	153962	152270
59	chrI	YAR002C-A	154740	-	153989	154714
60	chrI	YAR003W	154951	+	156285	154985
61	chrI	YAR007C	158682	-	156681	158635
62	chrI	YAR008W	158868	+	159860	158915
63	chrI	YAR014C	169021	-	166557	168970
64	chrI	YAR015W	169272	+	170390	169282
65	chrI	YAR018C	171719	-	170263	171709
66	chrI	YAR019C	175135	-	172119	175121
67	chrI	YAR027W	183688	+	184552	183728
68	chrI	YAR033W	188065	+	188904	188115
69	chrI	YAR042W	192595	+	196418	192628
70	chrI	YAR071W	225420	+	226913	225195
71	chrII	YBL108C-A	7733	-	7527	8189
72	chrII	YBL106C	13946	-	10773	13942
73	chrII	YBL105C	17966	-	14104	17910
74	chrII	YBL103C	23790	-	21715	23752
75	chrII	YBL102W	24010	+	24938	24041
76	chrII	YBL101C	28583	-	24810	28379
77	chrII	YBL099W	36766	+	38922	36802
78	chrII	YBL098W	39125	+	40644	39167
79	chrII	YBL097W	40781	+	43308	40811
80	chrII	YBL093C	44998	-	44039	44984
81	chrII	YBL092W	45582	+	46517	45620
82	chrII	YBL091C-A	47193	-	46559	47125
83	chrII	YBL091C	48659	-	47273	48599
84	chrII	YBL090W	48794	+	49477	48846
85	chrII	YBL089W	49510	+	51261	49609
86	chrII	YBL088C	59438	-	50935	59345
87	chrII	YBL087C	60762	-	59722	60780
88	chrII	YBL085W	63661	+	66929	63743
89	chrII	YBL084C	69543	-	66923	69499
90	chrII	YBL082C	71409	-	69658	71346
91	chrII	YBL080C	74778	-	72965	74713
92	chrII	YBL079W	75206	+	79852	75240
93	chrII	YBL078C	80813	-	80378	80703
94	chrII	YBL076C	84269	-	80947	84249
95	chrII	YBL075C	86448	-	84418	86582
96	chrII	YBL074C	87803	-	86722	87778
97	chrII	YBL072C	89116	-	88403	89435
98	chrII	YBL071W-A	89935	+	90472	89992
99	chrII	YBL069W	90669	+	92111	90698
100	chrII	YBL068W	92365	+	93483	92423
101	chrII	YBL067C	96169	-	93523	96098
102	chrII	YBL064C	101224	-	100299	101166
103	chrII	YBL063W	101886	+	105317	101921
104	chrII	YBL061C	107510	-	105213	107465
105	chrII	YBL060W	107870	+	110039	107929
106	chrII	YBL059C-A	110561	-	109965	110517
107	chrII	YBL058W	111396	+	112825	111444
108	chrII	YBL057C	113447	-	112734	113415
109	chrII	YBL056W	113682	+	115535	113711
110	chrII	YBL055C	116815	-	115479	116843
111	chrII	YBL054W	117478	+	119311	117448
112	chrII	YBL052C	122062	-	119310	122090
113	chrII	YBL051C	124822	-	122603	124781
114	chrII	YBL050W	125058	+	126186	125091
115	chrII	YBL049W	126622	+	127244	126318
116	chrII	YBL047C	132211	-	127751	132148
117	chrII	YBL046W	132416	+	133931	132442
118	chrII	YBL045C	135640	-	133840	135660
119	chrII	YBL043W	136555	+	137644	136367
120	chrII	YBL042C	140316	-	138150	140332
121	chrII	YBL041W	141216	+	142028	141272
122	chrII	YBL040C	142900	-	142012	142851
123	chrII	YBL039C	145782	-	143807	145775
124	chrII	YBL038W	146130	+	146947	146154
125	chrII	YBL037W	147129	+	150403	147175
126	chrII	YBL036C	151269	-	150301	151184
127	chrII	YBL035C	153688	-	151382	153669
128	chrII	YBL034C	158215	-	153698	158417
129	chrII	YBL033C	159709	-	158489	159664
130	chrII	YBL032W	160094	+	161532	160154
131	chrII	YBL031W	161665	+	162874	161714
132	chrII	YBL030C	164141	-	162741	164068
133	chrII	YBL028C	167860	-	167433	167845
134	chrII	YBL027W	168371	+	169460	168458
135	chrII	YBL026W	170581	+	171164	170625
136	chrII	YBL025W	171413	+	171918	171472
137	chrII	YBL024W	172528	+	174708	172531
138	chrII	YBL023C	177611	-	174765	177553
139	chrII	YBL022C	181394	-	177798	181359
140	chrII	YBL021C	182141	-	181490	182071
141	chrII	YBL020W	182319	+	184214	182355
142	chrII	YBL019W	184301	+	186030	184362
143	chrII	YBL018C	186515	-	185962	186465
144	chrII	YBL017C	191764	-	186777	191715
145	chrII	YBL016W	192428	+	193647	192408
146	chrII	YBL015W	194045	+	195736	193946
147	chrII	YBL014C	201777	-	198947	201726
148	chrII	YBL013W	201990	+	203261	202049
149	chrII	YBL011W	203437	+	206019	203507
150	chrII	YBL009W	207152	+	209338	207185
151	chrII	YBL008W	209653	+	212279	209634
152	chrII	YBL007C	216366	-	212548	216401
153	chrII	YBL006C	217133	-	216405	217110
154	chrII	YBL005W	217408	+	220685	217393
155	chrII	YBL004W	227529	+	235202	227578
156	chrII	YBL003C	235827	-	235221	235922
157	chrII	YBL002W	236469	+	237079	236536
158	chrII	YBL001C	237528	-	237078	237460
159	chrII	YBR001C	241431	-	238872	241406
160	chrII	YBR002C	242589	-	241599	242541
161	chrII	YBR003W	242780	+	244360	242827
162	chrII	YBR004C	245683	-	244273	245590
163	chrII	YBR005W	245871	+	246731	245903
164	chrII	YBR006W	246884	+	248645	246932
165	chrII	YBR009C	255723	-	255209	255616
166	chrII	YBR010W	256303	+	256902	256196
167	chrII	YBR011C	258014	-	257000	257969
168	chrII	YBR014C	267396	-	266529	267300
169	chrII	YBR015C	269503	-	267571	269559
170	chrII	YBR016W	270198	+	270836	270260
171	chrII	YBR017C	273755	-	270773	273707
172	chrII	YBR018C	275527	-	274283	275586
173	chrII	YBR019C	278352	-	276151	278471
174	chrII	YBR020W	279021	+	280655	278790
175	chrII	YBR021W	281325	+	283434	281344
176	chrII	YBR022W	283676	+	284426	283728
177	chrII	YBR023C	288074	-	284300	288048
178	chrII	YBR024W	289353	+	290580	289390
179	chrII	YBR025C	291886	-	290477	291891
180	chrII	YBR026C	294040	-	292761	294024
181	chrII	YBR029C	297822	-	296241	297772
182	chrII	YBR030W	298021	+	300119	298039
183	chrII	YBR031W	300150	+	301347	300173
184	chrII	YBR034C	305990	-	304740	305967
185	chrII	YBR035C	306982	-	306170	306942
186	chrII	YBR036C	310361	-	308887	310324
187	chrII	YBR037C	311493	-	310495	311432
188	chrII	YBR038W	311857	+	314971	311818
189	chrII	YBR039W	315488	+	316688	315547
190	chrII	YBR040W	316786	+	317864	316852
191	chrII	YBR041W	318213	+	320417	318260
192	chrII	YBR042C	321654	-	320346	321611
193	chrII	YBR043C	324094	-	321771	324051
194	chrII	YBR044C	326142	-	324268	326095
195	chrII	YBR045C	330092	-	328027	330247
196	chrII	YBR046C	331542	-	330248	331497
197	chrII	YBR048W	332813	+	334020	332819
198	chrII	YBR049C	336941	-	334141	336833
199	chrII	YBR050C	338376	-	337183	338410
200	chrII	YBR052C	339416	-	338663	339352
201	chrII	YBR054W	342787	+	344360	342560
202	chrII	YBR055C	347325	-	344509	347249
203	chrII	YBR057C	353383	-	352089	353341
204	chrII	YBR058C	356041	-	353516	355995
205	chrII	YBR058C-A	356625	-	356153	356572
206	chrII	YBR059C	360298	-	356762	360257
207	chrII	YBR060C	362632	-	360609	362578
208	chrII	YBR061C	365726	-	364634	365672
209	chrII	YBR065C	369750	-	368276	369689
210	chrII	YBR066C	370751	-	369948	370926
211	chrII	YBR067C	372786	-	371984	373107
212	chrII	YBR068C	375729	-	373642	375668
213	chrII	YBR069C	378538	-	376429	378533
214	chrII	YBR070C	379987	-	379178	379968
215	chrII	YBR072W	381956	+	382840	382054
216	chrII	YBR073W	383154	+	386050	383157
217	chrII	YBR076W	390227	+	391291	390154
218	chrII	YBR077C	392352	-	391577	392281
219	chrII	YBR078W	392947	+	394894	392836
220	chrII	YBR079C	398302	-	395294	398264
221	chrII	YBR080C	400916	-	398464	400876
222	chrII	YBR081C	405397	-	401105	405338
223	chrII	YBR082C	407234	-	406461	407150
224	chrII	YBR083W	409122	+	410704	408927
225	chrII	YBR084W	411040	+	414073	411046
226	chrII	YBR084C-A	415311	-	414069	415277
227	chrII	YBR085W	415919	+	417077	415923
228	chrII	YBR086C	423344	-	420078	423242
229	chrII	YBR087W	423754	+	424889	423797
230	chrII	YBR088C	425806	-	424923	425827
231	chrII	YBR089C-A	426873	-	426015	426732
232	chrII	YBR091C	427525	-	427061	427476
233	chrII	YBR092C	429115	-	427647	429168
234	chrII	YBR093C	430986	-	429492	431205
235	chrII	YBR094W	431970	+	434402	432018
236	chrII	YBR095C	435738	-	434314	435690
237	chrII	YBR097W	436920	+	441394	436955
238	chrII	YBR098W	441517	+	443745	441548
239	chrII	YBR101C	444765	-	443743	444696
240	chrII	YBR102C	447354	-	444956	447332
241	chrII	YBR103W	447549	+	449364	447597
242	chrII	YBR104W	449579	+	450740	449590
243	chrII	YBR105C	451995	-	450721	452060
244	chrII	YBR106W	452625	+	453364	452648
245	chrII	YBR107C	454551	-	453793	454535
246	chrII	YBR108W	454807	+	457852	454814
247	chrII	YBR109C	458401	-	457724	458357
248	chrII	YBR110W	458657	+	460318	458860
249	chrII	YBR111C	461856	-	461107	461893
250	chrII	YBR111W-A	462138	+	462742	462164
251	chrII	YBR112C	465964	-	462642	465908
252	chrII	YBR114W	467130	+	469679	467218
253	chrII	YBR115C	474013	-	469611	473993
254	chrII	YBR117C	476674	-	474235	476621
255	chrII	YBR118W	477649	+	479137	477695
256	chrII	YBR119W	479298	+	480467	479350
257	chrII	YBR120C	481006	-	480375	480957
258	chrII	YBR121C	483444	-	481261	483444
259	chrII	YBR122C	484536	-	483774	484493
260	chrII	YBR123C	486759	-	484677	486698
261	chrII	YBR125C	488559	-	487061	488499
262	chrII	YBR126C	490499	-	488774	490443
263	chrII	YBR127C	492886	-	491103	492822
264	chrII	YBR128C	494147	-	492798	494093
265	chrII	YBR129C	495374	-	494219	495333
266	chrII	YBR130C	496929	-	495479	496883
267	chrII	YBR131W	497119	+	499352	497177
268	chrII	YBR132C	501553	-	499352	501562
269	chrII	YBR133C	504400	-	501663	504384
270	chrII	YBR135W	504754	+	505510	504808
271	chrII	YBR136W	505617	+	512970	505688
272	chrII	YBR137W	512952	+	513680	512986
273	chrII	YBR139W	515659	+	517223	515690
274	chrII	YBR140C	526628	-	517239	526881
275	chrII	YBR142W	528270	+	530645	528301
276	chrII	YBR143C	532221	-	530735	532194
277	chrII	YBR145W	533721	+	534918	533682
278	chrII	YBR146W	535197	+	536318	535233
279	chrII	YBR147W	536575	+	537494	536471
280	chrII	YBR148W	537689	+	539787	537762
281	chrII	YBR149W	539918	+	541118	540004
282	chrII	YBR150C	544524	-	541143	544463
283	chrII	YBR151W	544915	+	546108	544943
284	chrII	YBR152W	546322	+	547251	546376
285	chrII	YBR153W	547410	+	548241	547441
286	chrII	YBR154C	549100	-	548266	549055
287	chrII	YBR155W	549726	+	551018	549786
288	chrII	YBR156C	553237	-	550927	553197
289	chrII	YBR158W	556286	+	558348	556164
290	chrII	YBR159W	558660	+	559815	558699
291	chrII	YBR160W	559947	+	561068	560007
292	chrII	YBR161W	561407	+	563028	561371
293	chrII	YBR162C	564808	-	562899	564691
294	chrII	YBR162W-A	565196	+	565526	565266
295	chrII	YBR163W	565639	+	567536	565686
296	chrII	YBR164C	568545	-	567773	568504
297	chrII	YBR165W	568760	+	569731	568785
298	chrII	YBR166C	571252	-	569753	571187
299	chrII	YBR167C	571926	-	571400	571866
300	chrII	YBR168W	572244	+	573780	572288
301	chrII	YBR169C	575996	-	573739	576081
302	chrII	YBR170C	578159	-	576214	578090
303	chrII	YBR171W	578338	+	579065	578384
304	chrII	YBR172C	581483	-	579012	581428
305	chrII	YBR173C	582200	-	581582	582155
306	chrII	YBR175W	582395	+	583458	582432
307	chrII	YBR176W	583586	+	584803	583668
308	chrII	YBR177C	586193	-	584684	586183
309	chrII	YBR179C	589179	-	586491	589135
310	chrII	YBR180W	589741	+	591459	589690
311	chrII	YBR181C	592827	-	591630	592765
312	chrII	YBR182C	595027	-	593200	595024
313	chrII	YBR183W	595906	+	597128	596056
314	chrII	YBR185C	599978	-	599004	599947
315	chrII	YBR186W	600553	+	602360	600568
316	chrII	YBR188C	604182	-	603530	604145
317	chrII	YBR189W	604470	+	605578	604511
318	chrII	YBR191W	606220	+	607242	606267
319	chrII	YBR192W	607502	+	609055	607516
320	chrII	YBR193C	609813	-	608847	609718
321	chrII	YBR194W	609969	+	610565	610000
322	chrII	YBR195C	611875	-	610490	611872
323	chrII	YBR196C	613935	-	612072	613918
324	chrII	YBR198C	618597	-	616036	618537
325	chrII	YBR199W	618816	+	620431	618862
326	chrII	YBR200W	620817	+	622749	620843
327	chrII	YBR201W	623440	+	624335	623490
328	chrII	YBR202W	625742	+	628474	625736
329	chrII	YBR203W	628865	+	632172	628982
330	chrII	YBR204C	633443	-	631993	633376
331	chrII	YBR205W	633575	+	635014	633643
332	chrII	YBR207W	635094	+	636682	635112
333	chrII	YBR208C	642210	-	636572	642608
334	chrII	YBR210W	645512	+	646217	645370
335	chrII	YBR211C	647245	-	646031	647186
336	chrII	YBR212W	647480	+	650110	647511
337	chrII	YBR213W	650216	+	651315	650318
338	chrII	YBR214W	651415	+	653191	651400
339	chrII	YBR215W	653315	+	655425	653359
340	chrII	YBR216C	657633	-	655283	657592
341	chrII	YBR217W	657785	+	658720	657841
342	chrII	YBR218C	662311	-	658591	662379
343	chrII	YBR221C	666456	-	664909	666413
344	chrII	YBR222C	668378	-	666606	668373
345	chrII	YBR223C	670323	-	668424	670277
346	chrII	YBR227C	675192	-	673514	675142
347	chrII	YBR228W	675313	+	676321	675377
348	chrII	YBR229C	679228	-	676226	679207
349	chrII	YBR230C	680088	-	679461	680038
350	chrII	YBR231C	683147	-	682140	683080
351	chrII	YBR233W	683300	+	684839	683359
352	chrII	YBR233W-A	684958	+	685468	684993
353	chrII	YBR234C	686638	-	685360	686577
354	chrII	YBR236C	691731	-	690267	691692
355	chrII	YBR237W	691925	+	694611	691965
356	chrII	YBR238C	697302	-	695093	697425
357	chrII	YBR240C	701842	-	700261	702132
358	chrII	YBR243C	706825	-	705389	706769
359	chrII	YBR244W	707492	+	708136	707360
360	chrII	YBR245C	711385	-	708054	711352
361	chrII	YBR247C	714476	-	712887	714453
362	chrII	YBR248C	716553	-	714736	716511
363	chrII	YBR249C	718084	-	716794	718118
364	chrII	YBR250W	719033	+	720684	718987
365	chrII	YBR251W	721322	+	722394	721384
366	chrII	YBR252W	722593	+	723127	722645
367	chrII	YBR253W	723209	+	723727	723262
368	chrII	YBR254C	724271	-	723567	724228
369	chrII	YBR255W	724433	+	726607	724478
370	chrII	YBR256C	728137	-	727322	728096
371	chrII	YBR257W	728854	+	729781	728898
372	chrII	YBR258C	730195	-	729666	730128
373	chrII	YBR260C	734676	-	732537	734610
374	chrII	YBR261C	735555	-	734704	735494
375	chrII	YBR262C	736075	-	735606	736018
376	chrII	YBR263W	736224	+	737806	736284
377	chrII	YBR264C	738407	-	737733	738331
378	chrII	YBR265W	738546	+	739687	738593
379	chrII	YBR267W	739824	+	741142	739863
380	chrII	YBR268W	741285	+	741716	741337
381	chrII	YBR272C	747830	-	746178	747770
382	chrII	YBR273C	749402	-	747954	749339
383	chrII	YBR274W	749558	+	751338	749594
384	chrII	YBR275C	757220	-	751216	757148
385	chrII	YBR276C	760138	-	757544	760082
386	chrII	YBR278W	760276	+	760991	760292
387	chrII	YBR279W	761229	+	762712	761273
388	chrII	YBR280C	764700	-	762608	764701
389	chrII	YBR281C	767655	-	764860	767604
390	chrII	YBR282W	768201	+	768801	768244
391	chrII	YBR283C	770568	-	768791	770512
392	chrII	YBR286W	774687	+	776379	774743
393	chrII	YBR288C	779521	-	777946	779454
394	chrII	YBR289W	779638	+	782442	779708
395	chrII	YBR290W	782584	+	783661	782628
396	chrII	YBR291C	784608	-	783627	784619
397	chrII	YBR293W	787106	+	788645	787105
398	chrII	YBR294W	789235	+	791814	788981
399	chrII	YBR295W	792832	+	796621	792842
400	chrII	YBR296C	798588	-	796520	798864
401	chrII	YBR297W	800484	+	802166	800547
402	chrII	YBR298C	804475	-	802544	804858
403	chrII	YBR299W	805141	+	807105	805164
404	chrII	YBR302C	811486	-	810283	811411
405	chrIII	YCL064C	16890	-	15712	16909
406	chrIII	YCL063W	17274	+	18693	17315
407	chrIII	YCL061C	22154	-	18624	22102
408	chrIII	YCL059C	23404	-	22318	23355
409	chrIII	YCL058C	23981	-	23523	24316
410	chrIII	YCL058W-A	23562	+	23990	23617
411	chrIII	YCL057W	24782	+	27035	24814
412	chrIII	YCL055W	27923	+	29019	27953
413	chrIII	YCL054W	31432	+	34078	31449
414	chrIII	YCL052C	35426	-	33985	35370
415	chrIII	YCL051W	35584	+	37662	35622
416	chrIII	YCL050C	38863	-	37722	38830
417	chrIII	YCL048W	42165	+	43556	42129
418	chrIII	YCL045C	46945	-	44562	46925
419	chrIII	YCL044C	48405	-	46937	48385
420	chrIII	YCL043C	50258	-	48590	50207
421	chrIII	YCL040W	50809	+	52518	50808
422	chrIII	YCL039W	52625	+	54924	52667
423	chrIII	YCL038C	56583	-	54863	56552
424	chrIII	YCL037C	58745	-	57287	58730
425	chrIII	YCL036W	58972	+	60822	59025
426	chrIII	YCL035C	61237	-	60715	61203
427	chrIII	YCL034W	61634	+	62794	61674
428	chrIII	YCL033C	63247	-	62705	63219
429	chrIII	YCL032W	63364	+	64676	63460
430	chrIII	YCL031C	65619	-	64556	65556
431	chrIII	YCL030C	68393	-	65849	68417
432	chrIII	YCL029C	69981	-	68338	69930
433	chrIII	YCL028W	70118	+	71439	70153
434	chrIII	YCL027W	71775	+	73432	71741
435	chrIII	YCL026C-A	75387	-	74490	75395
436	chrIII	YCL025C	77950	-	75925	77907
437	chrIII	YCL024W	79090	+	82386	79131
438	chrIII	YCL018W	91324	+	92418	91279
439	chrIII	YCL017C	94385	-	92619	94346
440	chrIII	YCL016C	95795	-	94480	95732
441	chrIII	YCL014W	96178	+	101310	96221
442	chrIII	YCL012C	101822	-	101199	101772
443	chrIII	YCL011C	103402	-	101990	103339
444	chrIII	YCL010C	104370	-	103571	104321
445	chrIII	YCL009C	105594	-	104471	105547
446	chrIII	YCL008C	106857	-	105564	106806
447	chrIII	YCL005W-A	106998	+	107519	107060
448	chrIII	YCL005W	107975	+	108928	108032
449	chrIII	YCL004W	109025	+	110747	109126
450	chrIII	YCL001W	111897	+	112528	111928
451	chrIII	YCR002C	118393	-	117321	118343
452	chrIII	YCR003W	118598	+	119276	118647
453	chrIII	YCR004C	120508	-	119468	120287
454	chrIII	YCR005C	122388	-	120814	122465
455	chrIII	YCR008W	128007	+	130539	128071
456	chrIII	YCR009C	131623	-	130646	131545
457	chrIII	YCR010C	133124	-	132144	133479
458	chrIII	YCR011C	137024	-	133667	137042
459	chrIII	YCR012W	137706	+	139154	137797
460	chrIII	YCR014C	140933	-	139078	140929
461	chrIII	YCR017C	147663	-	144588	147638
462	chrIII	YCR020C	154659	-	153941	154692
463	chrIII	YCR020C-A	155114	-	154680	155059
464	chrIII	YCR020W-B	155310	+	155556	155331
465	chrIII	YCR021C	157207	-	155930	157509
466	chrIII	YCR023C	160463	-	158297	160399
467	chrIII	YCR024C	162222	-	160623	162185
468	chrIII	YCR024C-A	163258	-	162631	163367
469	chrIII	YCR026C	166413	-	163896	166344
470	chrIII	YCR027C	168174	-	167206	168159
471	chrIII	YCR028C	172542	-	170631	172472
472	chrIII	YCR028C-A	173480	-	172758	173451
473	chrIII	YCR030C	176497	-	173653	176451
474	chrIII	YCR031C	178261	-	177399	178221
475	chrIII	YCR032W	179391	+	186144	179439
476	chrIII	YCR033W	186288	+	190326	186331
477	chrIII	YCR034W	190566	+	191802	190611
478	chrIII	YCR035C	193028	-	191689	193004
479	chrIII	YCR036W	193280	+	194384	193319
480	chrIII	YCR037C	197216	-	194323	197164
481	chrIII	YCR039C	200050	-	199464	200135
482	chrIII	YCR040W	200442	+	201190	200411
483	chrIII	YCR042C	205420	-	201055	205373
484	chrIII	YCR044C	207968	-	206779	207906
485	chrIII	YCR045C	209610	-	207846	209633
486	chrIII	YCR046C	210429	-	209808	210401
487	chrIII	YCR047C	211634	-	210517	211582
488	chrIII	YCR048W	211885	+	213935	211899
489	chrIII	YCR052W	214959	+	216630	215016
490	chrIII	YCR053W	216656	+	218321	216677
491	chrIII	YCR054C	220145	-	218136	220108
492	chrIII	YCR057C	223290	-	220344	223252
493	chrIII	YCR059C	224247	-	223273	224223
494	chrIII	YCR060W	224386	+	224867	224472
495	chrIII	YCR063W	228280	+	228791	228354
496	chrIII	YCR065W	229256	+	231352	229150
497	chrIII	YCR066W	231450	+	233126	231516
498	chrIII	YCR067C	236429	-	233028	236374
499	chrIII	YCR068W	237083	+	238776	237098
500	chrIII	YCR069W	238908	+	240130	238974
501	chrIII	YCR071C	240588	-	240024	240530
502	chrIII	YCR072C	242378	-	240724	242330
503	chrIII	YCR073C	246648	-	242516	246597
504	chrIII	YCR073W-A	246926	+	248024	246980
505	chrIII	YCR075C	248836	-	247889	248770
506	chrIII	YCR077C	252661	-	250100	252596
507	chrIII	YCR079W	252839	+	254299	252887
508	chrIII	YCR081W	254371	+	258654	254401
509	chrIII	YCR082W	258853	+	259362	258890
510	chrIII	YCR083W	259543	+	260077	259611
511	chrIII	YCR084C	262677	-	259972	262591
512	chrIII	YCR086W	263348	+	264017	263375
513	chrIII	YCR088W	265030	+	266979	265086
514	chrIII	YCR089W	267138	+	272322	267174
515	chrIII	YCR091W	274404	+	276566	274362
516	chrIII	YCR092C	279856	-	276617	279818
517	chrIII	YCR093W	280087	+	286548	280148
518	chrIII	YCR094W	286699	+	288211	286758
519	chrIII	YCR098C	298579	-	296795	298998
520	chrIII	YCR104W	307514	+	308175	307580
521	chrIII	YCR105W	309070	+	310186	309018
522	chrIII	YCR106W	310928	+	313456	310983
523	chrIII	YCR107W	313890	+	315246	313846
524	chrIV	YDL248W	1792	+	2953	1881
525	chrIV	YDL247W	5985	+	7814	5878
526	chrIV	YDL245C	13360	-	11657	13614
527	chrIV	YDL244W	15940	+	17226	15946
528	chrIV	YDL240W	22651	+	26119	22693
529	chrIV	YDL238C	30482	-	28919	30461
530	chrIV	YDL237W	30625	+	32012	30676
531	chrIV	YDL236W	32259	+	33416	32307
532	chrIV	YDL235C	34041	-	33272	34006
533	chrIV	YDL234C	36614	-	34200	36561
534	chrIV	YDL232W	38468	+	38855	38522
535	chrIV	YDL231C	42355	-	38807	42306
536	chrIV	YDL230W	42674	+	43743	42719
537	chrIV	YDL229W	44035	+	46012	44073
538	chrIV	YDL227C	48070	-	46211	47793
539	chrIV	YDL226C	52196	-	50885	52156
540	chrIV	YDL225W	52395	+	54185	52453
541	chrIV	YDL224C	56346	-	54155	56665
542	chrIV	YDL222C	61801	-	60540	62045
543	chrIV	YDL220C	65042	-	62244	64995
544	chrIV	YDL219W	65216	+	66035	65254
545	chrIV	YDL217C	68766	-	67905	68748
546	chrIV	YDL216C	70314	-	68883	70272
547	chrIV	YDL214C	76545	-	74314	76885
548	chrIV	YDL213C	77975	-	77228	77932
549	chrIV	YDL212W	78379	+	79206	78432
550	chrIV	YDL210W	84270	+	85985	84003
551	chrIV	YDL209C	87248	-	86011	87212
552	chrIV	YDL208W	87467	+	88109	87525
553	chrIV	YDL207W	88210	+	89944	88263
554	chrIV	YDL205C	93942	-	92516	93906
555	chrIV	YDL204W	94605	+	95972	94183
556	chrIV	YDL203C	98152	-	95822	98105
557	chrIV	YDL202W	98421	+	99370	98476
558	chrIV	YDL201W	99493	+	100504	99551
559	chrIV	YDL200C	101103	-	100431	101026
560	chrIV	YDL198C	104656	-	103527	104588
561	chrIV	YDL197C	106508	-	104742	106471
562	chrIV	YDL195W	107089	+	111215	107131
563	chrIV	YDL194W	111376	+	114401	111425
564	chrIV	YDL193W	114605	+	115999	114610
565	chrIV	YDL192W	116284	+	117020	116282
566	chrIV	YDL191W	117605	+	118616	117660
567	chrIV	YDL190C	121787	-	118655	121731
568	chrIV	YDL189W	122026	+	123683	122023
569	chrIV	YDL188C	125180	-	123711	125127
570	chrIV	YDL185W	126689	+	130107	126736
571	chrIV	YDL184C	130506	-	130197	130466
572	chrIV	YDL183C	131907	-	130731	131891
573	chrIV	YDL182W	133411	+	134815	133331
574	chrIV	YDL181W	135016	+	135544	135034
575	chrIV	YDL179W	138196	+	139357	138099
576	chrIV	YDL178W	139505	+	141177	139531
577	chrIV	YDL176W	141971	+	144338	142000
578	chrIV	YDL175C	145542	-	144266	145500
579	chrIV	YDL174C	147691	-	145734	147941
580	chrIV	YDL173W	148142	+	149204	148204
581	chrIV	YDL171C	155896	-	149073	155868
582	chrIV	YDL170W	156290	+	158035	156359
583	chrIV	YDL169C	158735	-	158064	158716
584	chrIV	YDL168W	159548	+	160816	159559
585	chrIV	YDL167C	163197	-	160816	163165
586	chrIV	YDL166C	164096	-	163387	164032
587	chrIV	YDL165W	164228	+	164905	164313
588	chrIV	YDL164C	167305	-	164826	167243
589	chrIV	YDL161W	167698	+	169182	167752
590	chrIV	YDL160C	172214	-	170232	172163
591	chrIV	YDL159W	172435	+	174224	172490
592	chrIV	YDL155W	176633	+	178194	176684
593	chrIV	YDL154W	178334	+	181082	178351
594	chrIV	YDL153C	183044	-	181045	183009
595	chrIV	YDL150W	183232	+	184685	183287
