	Chr	ORF	TSS	Strand	TTS	+2 nucleosome
56	chrI	YAL002W	143551	+	147565	143872
57	chrI	YAL001C	151204	-	147539	150968
58	chrI	YAR002W	152215	+	153962	152439
59	chrI	YAR002C-A	154740	-	153989	154536
60	chrI	YAR003W	154951	+	156285	155150
61	chrI	YAR007C	158682	-	156681	158465
62	chrI	YAR008W	158868	+	159860	159076
63	chrI	YAR014C	169021	-	166557	168806
64	chrI	YAR015W	169272	+	170390	169443
65	chrI	YAR018C	171719	-	170263	171524
66	chrI	YAR019C	175135	-	172119	174949
67	chrI	YAR027W	183688	+	184552	183885
68	chrI	YAR033W	188065	+	188904	188261
69	chrI	YAR042W	192595	+	196418	192791
70	chrI	YAR071W	225420	+	226913	225366
71	chrII	YBL108C-A	7733	-	7527	8016
72	chrII	YBL106C	13946	-	10773	13758
73	chrII	YBL105C	17966	-	14104	17734
74	chrII	YBL103C	23790	-	21715	23569
75	chrII	YBL102W	24010	+	24938	24182
76	chrII	YBL101C	28583	-	24810	28234
77	chrII	YBL099W	36766	+	38922	36954
78	chrII	YBL098W	39125	+	40644	39332
79	chrII	YBL097W	40781	+	43308	40973
80	chrII	YBL093C	44998	-	44039	44799
81	chrII	YBL092W	45582	+	46517	45782
82	chrII	YBL091C-A	47193	-	46559	46979
83	chrII	YBL091C	48659	-	47273	48419
84	chrII	YBL090W	48794	+	49477	49028
85	chrII	YBL089W	49510	+	51261	49757
86	chrII	YBL088C	59438	-	50935	59194
87	chrII	YBL087C	60762	-	59722	60609
88	chrII	YBL085W	63661	+	66929	63904
89	chrII	YBL084C	69543	-	66923	69326
90	chrII	YBL082C	71409	-	69658	71170
91	chrII	YBL080C	74778	-	72965	74532
92	chrII	YBL079W	75206	+	79852	75405
93	chrII	YBL078C	80813	-	80378	80562
94	chrII	YBL076C	84269	-	80947	84062
95	chrII	YBL075C	86448	-	84418	86437
96	chrII	YBL074C	87803	-	86722	87608
97	chrII	YBL072C	89116	-	88403	89251
98	chrII	YBL071W-A	89935	+	90472	90162
99	chrII	YBL069W	90669	+	92111	90872
100	chrII	YBL068W	92365	+	93483	92599
101	chrII	YBL067C	96169	-	93523	95932
102	chrII	YBL064C	101224	-	100299	101023
103	chrII	YBL063W	101886	+	105317	102078
104	chrII	YBL061C	107510	-	105213	107290
105	chrII	YBL060W	107870	+	110039	108084
106	chrII	YBL059C-A	110561	-	109965	110353
107	chrII	YBL058W	111396	+	112825	111605
108	chrII	YBL057C	113447	-	112734	113259
109	chrII	YBL056W	113682	+	115535	113859
110	chrII	YBL055C	116815	-	115479	116695
111	chrII	YBL054W	117478	+	119311	117623
112	chrII	YBL052C	122062	-	119310	121915
113	chrII	YBL051C	124822	-	122603	124609
114	chrII	YBL050W	125058	+	126186	125239
115	chrII	YBL049W	126622	+	127244	126493
116	chrII	YBL047C	132211	-	127751	131983
117	chrII	YBL046W	132416	+	133931	132625
118	chrII	YBL045C	135640	-	133840	135477
119	chrII	YBL043W	136555	+	137644	136538
120	chrII	YBL042C	140316	-	138150	140146
121	chrII	YBL041W	141216	+	142028	141417
122	chrII	YBL040C	142900	-	142012	142680
123	chrII	YBL039C	145782	-	143807	145607
124	chrII	YBL038W	146130	+	146947	146309
125	chrII	YBL037W	147129	+	150403	147327
126	chrII	YBL036C	151269	-	150301	151017
127	chrII	YBL035C	153688	-	151382	153484
128	chrII	YBL034C	158215	-	153698	158266
129	chrII	YBL033C	159709	-	158489	159502
130	chrII	YBL032W	160094	+	161532	160315
131	chrII	YBL031W	161665	+	162874	161892
132	chrII	YBL030C	164141	-	162741	163924
133	chrII	YBL028C	167860	-	167433	167658
134	chrII	YBL027W	168371	+	169460	168607
135	chrII	YBL026W	170581	+	171164	170769
136	chrII	YBL025W	171413	+	171918	171645
137	chrII	YBL024W	172528	+	174708	172705
138	chrII	YBL023C	177611	-	174765	177394
139	chrII	YBL022C	181394	-	177798	181181
140	chrII	YBL021C	182141	-	181490	181897
141	chrII	YBL020W	182319	+	184214	182515
142	chrII	YBL019W	184301	+	186030	184528
143	chrII	YBL018C	186515	-	185962	186291
144	chrII	YBL017C	191764	-	186777	191550
145	chrII	YBL016W	192428	+	193647	192575
146	chrII	YBL015W	194045	+	195736	194120
147	chrII	YBL014C	201777	-	198947	201578
148	chrII	YBL013W	201990	+	203261	202231
149	chrII	YBL011W	203437	+	206019	203684
150	chrII	YBL009W	207152	+	209338	207343
151	chrII	YBL008W	209653	+	212279	209788
152	chrII	YBL007C	216366	-	212548	216217
153	chrII	YBL006C	217133	-	216405	216949
154	chrII	YBL005W	217408	+	220685	217577
155	chrII	YBL004W	227529	+	235202	227725
156	chrII	YBL003C	235827	-	235221	235744
157	chrII	YBL002W	236469	+	237079	236680
158	chrII	YBL001C	237528	-	237078	237285
159	chrII	YBR001C	241431	-	238872	241217
160	chrII	YBR002C	242589	-	241599	242400
161	chrII	YBR003W	242780	+	244360	242994
162	chrII	YBR004C	245683	-	244273	245411
163	chrII	YBR005W	245871	+	246731	246047
164	chrII	YBR006W	246884	+	248645	247097
165	chrII	YBR009C	255723	-	255209	255444
166	chrII	YBR010W	256303	+	256902	256382
167	chrII	YBR011C	258014	-	257000	257811
168	chrII	YBR014C	267396	-	266529	267154
169	chrII	YBR015C	269503	-	267571	269379
170	chrII	YBR016W	270198	+	270836	270404
171	chrII	YBR017C	273755	-	270773	273530
172	chrII	YBR018C	275527	-	274283	275426
173	chrII	YBR019C	278352	-	276151	278293
174	chrII	YBR020W	279021	+	280655	278956
175	chrII	YBR021W	281325	+	283434	281523
176	chrII	YBR022W	283676	+	284426	283875
177	chrII	YBR023C	288074	-	284300	287871
178	chrII	YBR024W	289353	+	290580	289575
179	chrII	YBR025C	291886	-	290477	291703
180	chrII	YBR026C	294040	-	292761	293840
181	chrII	YBR029C	297822	-	296241	297623
182	chrII	YBR030W	298021	+	300119	298204
183	chrII	YBR031W	300150	+	301347	300338
184	chrII	YBR034C	305990	-	304740	305803
185	chrII	YBR035C	306982	-	306170	306787
186	chrII	YBR036C	310361	-	308887	310163
187	chrII	YBR037C	311493	-	310495	311251
188	chrII	YBR038W	311857	+	314971	311995
189	chrII	YBR039W	315488	+	316688	315708
190	chrII	YBR040W	316786	+	317864	317010
191	chrII	YBR041W	318213	+	320417	318431
192	chrII	YBR042C	321654	-	320346	321448
193	chrII	YBR043C	324094	-	321771	323889
194	chrII	YBR044C	326142	-	324268	325929
195	chrII	YBR045C	330092	-	328027	330068
196	chrII	YBR046C	331542	-	330248	331342
197	chrII	YBR048W	332813	+	334020	332982
198	chrII	YBR049C	336941	-	334141	336661
199	chrII	YBR050C	338376	-	337183	338265
200	chrII	YBR052C	339416	-	338663	339198
201	chrII	YBR054W	342787	+	344360	342720
202	chrII	YBR055C	347325	-	344509	347093
203	chrII	YBR057C	353383	-	352089	353175
204	chrII	YBR058C	356041	-	353516	355821
205	chrII	YBR058C-A	356625	-	356153	356416
206	chrII	YBR059C	360298	-	356762	360095
207	chrII	YBR060C	362632	-	360609	362413
208	chrII	YBR061C	365726	-	364634	365520
209	chrII	YBR065C	369750	-	368276	369515
210	chrII	YBR066C	370751	-	369948	370760
211	chrII	YBR067C	372786	-	371984	372935
212	chrII	YBR068C	375729	-	373642	375503
213	chrII	YBR069C	378538	-	376429	378368
214	chrII	YBR070C	379987	-	379178	379804
215	chrII	YBR072W	381956	+	382840	382203
216	chrII	YBR073W	383154	+	386050	383339
217	chrII	YBR076W	390227	+	391291	390311
218	chrII	YBR077C	392352	-	391577	392112
219	chrII	YBR078W	392947	+	394894	393011
220	chrII	YBR079C	398302	-	395294	398090
221	chrII	YBR080C	400916	-	398464	400720
222	chrII	YBR081C	405397	-	401105	405185
223	chrII	YBR082C	407234	-	406461	406990
224	chrII	YBR083W	409122	+	410704	409088
225	chrII	YBR084W	411040	+	414073	411215
226	chrII	YBR084C-A	415311	-	414069	415124
227	chrII	YBR085W	415919	+	417077	416092
228	chrII	YBR086C	423344	-	420078	423061
229	chrII	YBR087W	423754	+	424889	423968
230	chrII	YBR088C	425806	-	424923	425638
231	chrII	YBR089C-A	426873	-	426015	426588
232	chrII	YBR091C	427525	-	427061	427319
233	chrII	YBR092C	429115	-	427647	429019
234	chrII	YBR093C	430986	-	429492	431043
235	chrII	YBR094W	431970	+	434402	432181
236	chrII	YBR095C	435738	-	434314	435507
237	chrII	YBR097W	436920	+	441394	437117
238	chrII	YBR098W	441517	+	443745	441708
239	chrII	YBR101C	444765	-	443743	444549
240	chrII	YBR102C	447354	-	444956	447167
241	chrII	YBR103W	447549	+	449364	447771
242	chrII	YBR104W	449579	+	450740	449744
243	chrII	YBR105C	451995	-	450721	451871
244	chrII	YBR106W	452625	+	453364	452813
245	chrII	YBR107C	454551	-	453793	454363
246	chrII	YBR108W	454807	+	457852	454969
247	chrII	YBR109C	458401	-	457724	458199
248	chrII	YBR110W	458657	+	460318	459029
249	chrII	YBR111C	461856	-	461107	461719
250	chrII	YBR111W-A	462138	+	462742	462310
251	chrII	YBR112C	465964	-	462642	465718
252	chrII	YBR114W	467130	+	469679	467391
253	chrII	YBR115C	474013	-	469611	473831
254	chrII	YBR117C	476674	-	474235	476434
255	chrII	YBR118W	477649	+	479137	477847
256	chrII	YBR119W	479298	+	480467	479533
257	chrII	YBR120C	481006	-	480375	480791
258	chrII	YBR121C	483444	-	481261	483280
259	chrII	YBR122C	484536	-	483774	484346
260	chrII	YBR123C	486759	-	484677	486518
261	chrII	YBR125C	488559	-	487061	488345
262	chrII	YBR126C	490499	-	488774	490284
263	chrII	YBR127C	492886	-	491103	492652
264	chrII	YBR128C	494147	-	492798	493939
265	chrII	YBR129C	495374	-	494219	495152
266	chrII	YBR130C	496929	-	495479	496720
267	chrII	YBR131W	497119	+	499352	497333
268	chrII	YBR132C	501553	-	499352	501421
269	chrII	YBR133C	504400	-	501663	504202
270	chrII	YBR135W	504754	+	505510	504988
271	chrII	YBR136W	505617	+	512970	505878
272	chrII	YBR137W	512952	+	513680	513169
273	chrII	YBR139W	515659	+	517223	515834
274	chrII	YBR140C	526628	-	517239	526731
275	chrII	YBR142W	528270	+	530645	528460
276	chrII	YBR143C	532221	-	530735	532019
277	chrII	YBR145W	533721	+	534918	533858
278	chrII	YBR146W	535197	+	536318	535408
279	chrII	YBR147W	536575	+	537494	536652
280	chrII	YBR148W	537689	+	539787	537925
281	chrII	YBR149W	539918	+	541118	540191
282	chrII	YBR150C	544524	-	541143	544293
283	chrII	YBR151W	544915	+	546108	545101
284	chrII	YBR152W	546322	+	547251	546545
285	chrII	YBR153W	547410	+	548241	547585
286	chrII	YBR154C	549100	-	548266	548887
287	chrII	YBR155W	549726	+	551018	549932
288	chrII	YBR156C	553237	-	550927	553032
289	chrII	YBR158W	556286	+	558348	556325
290	chrII	YBR159W	558660	+	559815	558857
291	chrII	YBR160W	559947	+	561068	560181
292	chrII	YBR161W	561407	+	563028	561545
293	chrII	YBR162C	564808	-	562899	564507
294	chrII	YBR162W-A	565196	+	565526	565415
295	chrII	YBR163W	565639	+	567536	565841
296	chrII	YBR164C	568545	-	567773	568324
297	chrII	YBR165W	568760	+	569731	568964
298	chrII	YBR166C	571252	-	569753	571036
299	chrII	YBR167C	571926	-	571400	571711
300	chrII	YBR168W	572244	+	573780	572473
301	chrII	YBR169C	575996	-	573739	575926
302	chrII	YBR170C	578159	-	576214	577905
303	chrII	YBR171W	578338	+	579065	578544
304	chrII	YBR172C	581483	-	579012	581240
305	chrII	YBR173C	582200	-	581582	581993
306	chrII	YBR175W	582395	+	583458	582591
307	chrII	YBR176W	583586	+	584803	583839
308	chrII	YBR177C	586193	-	584684	586006
309	chrII	YBR179C	589179	-	586491	588955
310	chrII	YBR180W	589741	+	591459	589856
311	chrII	YBR181C	592827	-	591630	592606
312	chrII	YBR182C	595027	-	593200	594846
313	chrII	YBR183W	595906	+	597128	596238
314	chrII	YBR185C	599978	-	599004	599771
315	chrII	YBR186W	600553	+	602360	600755
316	chrII	YBR188C	604182	-	603530	603980
317	chrII	YBR189W	604470	+	605578	604684
318	chrII	YBR191W	606220	+	607242	606419
319	chrII	YBR192W	607502	+	609055	607685
320	chrII	YBR193C	609813	-	608847	609536
321	chrII	YBR194W	609969	+	610565	610178
322	chrII	YBR195C	611875	-	610490	611689
323	chrII	YBR196C	613935	-	612072	613758
324	chrII	YBR198C	618597	-	616036	618371
325	chrII	YBR199W	618816	+	620431	619012
326	chrII	YBR200W	620817	+	622749	621020
327	chrII	YBR201W	623440	+	624335	623637
328	chrII	YBR202W	625742	+	628474	625896
329	chrII	YBR203W	628865	+	632172	629172
330	chrII	YBR204C	633443	-	631993	633220
331	chrII	YBR205W	633575	+	635014	633811
332	chrII	YBR207W	635094	+	636682	635301
333	chrII	YBR208C	642210	-	636572	642448
334	chrII	YBR210W	645512	+	646217	645559
335	chrII	YBR211C	647245	-	646031	647027
336	chrII	YBR212W	647480	+	650110	647671
337	chrII	YBR213W	650216	+	651315	650495
338	chrII	YBR214W	651415	+	653191	651582
339	chrII	YBR215W	653315	+	655425	653537
340	chrII	YBR216C	657633	-	655283	657411
341	chrII	YBR217W	657785	+	658720	658005
342	chrII	YBR218C	662311	-	658591	662234
343	chrII	YBR221C	666456	-	664909	666255
344	chrII	YBR222C	668378	-	666606	668186
345	chrII	YBR223C	670323	-	668424	670105
346	chrII	YBR227C	675192	-	673514	674962
347	chrII	YBR228W	675313	+	676321	675533
348	chrII	YBR229C	679228	-	676226	679035
349	chrII	YBR230C	680088	-	679461	679865
350	chrII	YBR231C	683147	-	682140	682916
351	chrII	YBR233W	683300	+	684839	683541
352	chrII	YBR233W-A	684958	+	685468	685163
353	chrII	YBR234C	686638	-	685360	686404
354	chrII	YBR236C	691731	-	690267	691516
355	chrII	YBR237W	691925	+	694611	692135
356	chrII	YBR238C	697302	-	695093	697267
357	chrII	YBR240C	701842	-	700261	701946
358	chrII	YBR243C	706825	-	705389	706602
359	chrII	YBR244W	707492	+	708136	707538
360	chrII	YBR245C	711385	-	708054	711179
361	chrII	YBR247C	714476	-	712887	714284
362	chrII	YBR248C	716553	-	714736	716369
363	chrII	YBR249C	718084	-	716794	717949
364	chrII	YBR250W	719033	+	720684	719151
365	chrII	YBR251W	721322	+	722394	721557
366	chrII	YBR252W	722593	+	723127	722816
367	chrII	YBR253W	723209	+	723727	723435
368	chrII	YBR254C	724271	-	723567	724066
369	chrII	YBR255W	724433	+	726607	724639
370	chrII	YBR256C	728137	-	727322	727934
371	chrII	YBR257W	728854	+	729781	729076
372	chrII	YBR258C	730195	-	729666	729957
373	chrII	YBR260C	734676	-	732537	734434
374	chrII	YBR261C	735555	-	734704	735333
375	chrII	YBR262C	736075	-	735606	735865
376	chrII	YBR263W	736224	+	737806	736459
377	chrII	YBR264C	738407	-	737733	738155
378	chrII	YBR265W	738546	+	739687	738756
379	chrII	YBR267W	739824	+	741142	740023
380	chrII	YBR268W	741285	+	741716	741497
381	chrII	YBR272C	747830	-	746178	747618
382	chrII	YBR273C	749402	-	747954	749166
383	chrII	YBR274W	749558	+	751338	749772
384	chrII	YBR275C	757220	-	751216	756995
385	chrII	YBR276C	760138	-	757544	759918
386	chrII	YBR278W	760276	+	760991	760482
387	chrII	YBR279W	761229	+	762712	761431
388	chrII	YBR280C	764700	-	762608	764535
389	chrII	YBR281C	767655	-	764860	767435
390	chrII	YBR282W	768201	+	768801	768421
391	chrII	YBR283C	770568	-	768791	770360
392	chrII	YBR286W	774687	+	776379	774915
393	chrII	YBR288C	779521	-	777946	779301
394	chrII	YBR289W	779638	+	782442	779867
395	chrII	YBR290W	782584	+	783661	782791
396	chrII	YBR291C	784608	-	783627	784455
397	chrII	YBR293W	787106	+	788645	787290
398	chrII	YBR294W	789235	+	791814	789151
399	chrII	YBR295W	792832	+	796621	793013
400	chrII	YBR296C	798588	-	796520	798699
401	chrII	YBR297W	800484	+	802166	800691
402	chrII	YBR298C	804475	-	802544	804693
403	chrII	YBR299W	805141	+	807105	805345
404	chrII	YBR302C	811486	-	810283	811261
405	chrIII	YCL064C	16890	-	15712	16768
406	chrIII	YCL063W	17274	+	18693	17458
407	chrIII	YCL061C	22154	-	18624	21932
408	chrIII	YCL059C	23404	-	22318	23185
409	chrIII	YCL058C	23981	-	23523	24143
410	chrIII	YCL058W-A	23562	+	23990	23789
411	chrIII	YCL057W	24782	+	27035	24979
412	chrIII	YCL055W	27923	+	29019	28139
413	chrIII	YCL054W	31432	+	34078	31622
414	chrIII	YCL052C	35426	-	33985	35205
415	chrIII	YCL051W	35584	+	37662	35763
416	chrIII	YCL050C	38863	-	37722	38644
417	chrIII	YCL048W	42165	+	43556	42302
418	chrIII	YCL045C	46945	-	44562	46741
419	chrIII	YCL044C	48405	-	46937	48226
420	chrIII	YCL043C	50258	-	48590	50060
421	chrIII	YCL040W	50809	+	52518	50974
422	chrIII	YCL039W	52625	+	54924	52839
423	chrIII	YCL038C	56583	-	54863	56380
424	chrIII	YCL037C	58745	-	57287	58548
425	chrIII	YCL036W	58972	+	60822	59178
426	chrIII	YCL035C	61237	-	60715	61046
427	chrIII	YCL034W	61634	+	62794	61835
428	chrIII	YCL033C	63247	-	62705	63065
429	chrIII	YCL032W	63364	+	64676	63630
430	chrIII	YCL031C	65619	-	64556	65403
431	chrIII	YCL030C	68393	-	65849	68241
432	chrIII	YCL029C	69981	-	68338	69759
433	chrIII	YCL028W	70118	+	71439	70330
434	chrIII	YCL027W	71775	+	73432	71888
435	chrIII	YCL026C-A	75387	-	74490	75213
436	chrIII	YCL025C	77950	-	75925	77755
437	chrIII	YCL024W	79090	+	82386	79304
438	chrIII	YCL018W	91324	+	92418	91420
439	chrIII	YCL017C	94385	-	92619	94165
440	chrIII	YCL016C	95795	-	94480	95561
441	chrIII	YCL014W	96178	+	101310	96379
442	chrIII	YCL012C	101822	-	101199	101600
443	chrIII	YCL011C	103402	-	101990	103167
444	chrIII	YCL010C	104370	-	103571	104170
445	chrIII	YCL009C	105594	-	104471	105376
446	chrIII	YCL008C	106857	-	105564	106633
447	chrIII	YCL005W-A	106998	+	107519	107203
448	chrIII	YCL005W	107975	+	108928	108192
449	chrIII	YCL004W	109025	+	110747	109278
450	chrIII	YCL001W	111897	+	112528	112096
451	chrIII	YCR002C	118393	-	117321	118187
452	chrIII	YCR003W	118598	+	119276	118801
453	chrIII	YCR004C	120508	-	119468	120145
454	chrIII	YCR005C	122388	-	120814	122317
455	chrIII	YCR008W	128007	+	130539	128245
456	chrIII	YCR009C	131623	-	130646	131372
457	chrIII	YCR010C	133124	-	132144	133294
458	chrIII	YCR011C	137024	-	133667	136863
459	chrIII	YCR012W	137706	+	139154	137980
460	chrIII	YCR014C	140933	-	139078	140772
461	chrIII	YCR017C	147663	-	144588	147453
462	chrIII	YCR020C	154659	-	153941	154523
463	chrIII	YCR020C-A	155114	-	154680	154895
464	chrIII	YCR020W-B	155310	+	155556	155493
465	chrIII	YCR021C	157207	-	155930	157333
466	chrIII	YCR023C	160463	-	158297	160243
467	chrIII	YCR024C	162222	-	160623	162024
468	chrIII	YCR024C-A	163258	-	162631	163204
469	chrIII	YCR026C	166413	-	163896	166181
470	chrIII	YCR027C	168174	-	167206	167970
471	chrIII	YCR028C	172542	-	170631	172315
472	chrIII	YCR028C-A	173480	-	172758	173267
473	chrIII	YCR030C	176497	-	173653	176293
474	chrIII	YCR031C	178261	-	177399	178063
475	chrIII	YCR032W	179391	+	186144	179620
476	chrIII	YCR033W	186288	+	190326	186501
477	chrIII	YCR034W	190566	+	191802	190785
478	chrIII	YCR035C	193028	-	191689	192830
479	chrIII	YCR036W	193280	+	194384	193501
480	chrIII	YCR037C	197216	-	194323	196978
481	chrIII	YCR039C	200050	-	199464	199974
482	chrIII	YCR040W	200442	+	201190	200560
483	chrIII	YCR042C	205420	-	201055	205215
484	chrIII	YCR044C	207968	-	206779	207725
485	chrIII	YCR045C	209610	-	207846	209468
486	chrIII	YCR046C	210429	-	209808	210234
487	chrIII	YCR047C	211634	-	210517	211399
488	chrIII	YCR048W	211885	+	213935	212059
489	chrIII	YCR052W	214959	+	216630	215187
490	chrIII	YCR053W	216656	+	218321	216835
491	chrIII	YCR054C	220145	-	218136	219945
492	chrIII	YCR057C	223290	-	220344	223089
493	chrIII	YCR059C	224247	-	223273	224048
494	chrIII	YCR060W	224386	+	224867	224647
495	chrIII	YCR063W	228280	+	228791	228503
496	chrIII	YCR065W	229256	+	231352	229297
497	chrIII	YCR066W	231450	+	233126	231671
498	chrIII	YCR067C	236429	-	233028	236223
499	chrIII	YCR068W	237083	+	238776	237279
500	chrIII	YCR069W	238908	+	240130	239123
501	chrIII	YCR071C	240588	-	240024	240378
502	chrIII	YCR072C	242378	-	240724	242165
503	chrIII	YCR073C	246648	-	242516	246418
504	chrIII	YCR073W-A	246926	+	248024	247164
505	chrIII	YCR075C	248836	-	247889	248602
506	chrIII	YCR077C	252661	-	250100	252433
507	chrIII	YCR079W	252839	+	254299	253034
508	chrIII	YCR081W	254371	+	258654	254567
509	chrIII	YCR082W	258853	+	259362	259039
510	chrIII	YCR083W	259543	+	260077	259791
511	chrIII	YCR084C	262677	-	259972	262410
512	chrIII	YCR086W	263348	+	264017	263563
513	chrIII	YCR088W	265030	+	266979	265235
514	chrIII	YCR089W	267138	+	272322	267344
515	chrIII	YCR091W	274404	+	276566	274539
516	chrIII	YCR092C	279856	-	276617	279655
517	chrIII	YCR093W	280087	+	286548	280298
518	chrIII	YCR094W	286699	+	288211	286901
519	chrIII	YCR098C	298579	-	296795	298839
520	chrIII	YCR104W	307514	+	308175	307752
521	chrIII	YCR105W	309070	+	310186	309179
522	chrIII	YCR106W	310928	+	313456	311159
523	chrIII	YCR107W	313890	+	315246	313999
524	chrIV	YDL248W	1792	+	2953	2042
525	chrIV	YDL247W	5985	+	7814	6026
526	chrIV	YDL245C	13360	-	11657	13445
527	chrIV	YDL244W	15940	+	17226	16130
528	chrIV	YDL240W	22651	+	26119	22858
529	chrIV	YDL238C	30482	-	28919	30276
530	chrIV	YDL237W	30625	+	32012	30845
531	chrIV	YDL236W	32259	+	33416	32466
532	chrIV	YDL235C	34041	-	33272	33829
533	chrIV	YDL234C	36614	-	34200	36384
534	chrIV	YDL232W	38468	+	38855	38683
535	chrIV	YDL231C	42355	-	38807	42150
536	chrIV	YDL230W	42674	+	43743	42879
537	chrIV	YDL229W	44035	+	46012	44225
538	chrIV	YDL227C	48070	-	46211	47630
539	chrIV	YDL226C	52196	-	50885	51993
540	chrIV	YDL225W	52395	+	54185	52616
541	chrIV	YDL224C	56346	-	54155	56499
542	chrIV	YDL222C	61801	-	60540	61898
543	chrIV	YDL220C	65042	-	62244	64833
544	chrIV	YDL219W	65216	+	66035	65415
545	chrIV	YDL217C	68766	-	67905	68592
546	chrIV	YDL216C	70314	-	68883	70109
547	chrIV	YDL214C	76545	-	74314	76730
548	chrIV	YDL213C	77975	-	77228	77744
549	chrIV	YDL212W	78379	+	79206	78607
550	chrIV	YDL210W	84270	+	85985	84175
551	chrIV	YDL209C	87248	-	86011	87055
552	chrIV	YDL208W	87467	+	88109	87687
553	chrIV	YDL207W	88210	+	89944	88438
554	chrIV	YDL205C	93942	-	92516	93727
555	chrIV	YDL204W	94605	+	95972	94355
556	chrIV	YDL203C	98152	-	95822	97921
557	chrIV	YDL202W	98421	+	99370	98629
558	chrIV	YDL201W	99493	+	100504	99703
559	chrIV	YDL200C	101103	-	100431	100853
560	chrIV	YDL198C	104656	-	103527	104443
561	chrIV	YDL197C	106508	-	104742	106297
562	chrIV	YDL195W	107089	+	111215	107308
563	chrIV	YDL194W	111376	+	114401	111587
564	chrIV	YDL193W	114605	+	115999	114788
565	chrIV	YDL192W	116284	+	117020	116434
566	chrIV	YDL191W	117605	+	118616	117820
567	chrIV	YDL190C	121787	-	118655	121563
568	chrIV	YDL189W	122026	+	123683	122206
569	chrIV	YDL188C	125180	-	123711	124938
570	chrIV	YDL185W	126689	+	130107	126908
571	chrIV	YDL184C	130506	-	130197	130307
572	chrIV	YDL183C	131907	-	130731	131733
573	chrIV	YDL182W	133411	+	134815	133513
574	chrIV	YDL181W	135016	+	135544	135223
575	chrIV	YDL179W	138196	+	139357	138271
576	chrIV	YDL178W	139505	+	141177	139711
577	chrIV	YDL176W	141971	+	144338	142186
578	chrIV	YDL175C	145542	-	144266	145337
579	chrIV	YDL174C	147691	-	145734	147787
580	chrIV	YDL173W	148142	+	149204	148393
581	chrIV	YDL171C	155896	-	149073	155703
582	chrIV	YDL170W	156290	+	158035	156543
583	chrIV	YDL169C	158735	-	158064	158571
584	chrIV	YDL168W	159548	+	160816	159741
585	chrIV	YDL167C	163197	-	160816	162999
586	chrIV	YDL166C	164096	-	163387	163881
587	chrIV	YDL165W	164228	+	164905	164488
588	chrIV	YDL164C	167305	-	164826	167091
589	chrIV	YDL161W	167698	+	169182	167921
590	chrIV	YDL160C	172214	-	170232	171981
591	chrIV	YDL159W	172435	+	174224	172661
592	chrIV	YDL155W	176633	+	178194	176838
593	chrIV	YDL154W	178334	+	181082	178510
594	chrIV	YDL153C	183044	-	181045	182836
595	chrIV	YDL150W	183232	+	184685	183449
